pn17q00001	0	出張でお世話になりました。	{"0": 3}	test
pn17q00002	0	朝食は普通でした。	{"0": 3}	test
pn17q00003	1	また是非行きたいです。	{"1": 3}	test
pn17q00004	1	また利用したいと思えるホテルでした。	{"1": 3}	test
pn17q00005	1	駅から近くて便利でした。	{"0": 1, "1": 2}	test
pn17q00006	1	また来年も利用したいと思います。	{"0": 1, "1": 2}	test
pn17q00007	0	新婚旅行で利用しました。	{"0": 3}	test
pn17q00008	1	また利用いたします。	{"0": 1, "1": 2}	test
pn17q00009	1	コストパフォーマンス最高です。	{"1": 3}	test
pn17q00010	0	お心遣いありがとうございました。	{"0": 2, "1": 1}	test
pn17q00011	1	部屋は広いです。	{"1": 3}	test
pn17q00012	0	野球観戦で利用しました。	{"0": 3}	test
pn17q00013	0	出張の前泊で利用しました。	{"0": 3}	test
pn17q00014	1	全てにおいて満足です。	{"1": 3}	test
pn17q00015	-1	と感じてしまいました。	{"-1": 2, "0": 1}	test
pn17q00016	0	)でした。	{"0": 3}	test
pn17q00017	0	1泊お世話になりました。	{"0": 3}	test
pn17q00018	1	部屋からの眺めも良かったです。	{"1": 3}	test
pn17q00019	0	普通のホテルです。	{"0": 3}	test
pn17q00020	1	また利用するつもりです。	{"1": 3}	test
pn17q00021	1	朝食が美味しいです。	{"1": 3}	test
pn17q00022	1	駐車場も無料です。	{"1": 3}	test
pn17q00023	1	また泊まりたいと思っています。	{"1": 3}	test
pn17q00024	1	また行きたいと思ってます。	{"1": 3}	test
pn17q00025	1	素敵な旅になりました。	{"1": 3}	test
pn17q00026	0	3回入りました。	{"0": 2, "1": 1}	test
pn17q00027	0	(̄▽	{"0": 3}	test
pn17q00028	1	再訪です。	{"0": 1, "1": 2}	test
pn17q00029	1	大満足のお宿でした。	{"1": 3}	test
pn17q00030	1	また利用しようと思いました。	{"1": 3}	test
pn17q00031	1	また行く機会があれば利用したいです。	{"1": 3}	test
pn17q00032	1	サウナもあります。	{"1": 3}	test
pn17q00033	1	二度目です。	{"0": 1, "1": 2}	test
pn17q00034	1	最高のおもてなしでした。	{"1": 3}	test
pn17q00035	0	お疲れ様です。	{"0": 3}	test
pn17q00036	0	飲み会で利用しました。	{"0": 2, "1": 1}	test
pn17q00037	1	部屋の広さも十分でした。	{"1": 3}	test
pn17q00038	-1	期待していただけに残念でした。	{"-1": 3}	test
pn17q00039	1	接客はとても丁寧でした。	{"1": 3}	test
pn17q00040	1	また利用すると思う。	{"1": 3}	test
pn17q00041	1	想像以上に良かったです。	{"1": 3}	test
pn17q00042	1	いいお宿です。	{"1": 3}	test
pn17q00043	0	どうぞよろしくお願いします。	{"0": 3}	test
pn17q00044	0	恋人旅行で利用しました。	{"0": 3}	test
pn17q00045	0	(^ω^	{"0": 3}	test
pn17q00046	1	デザートも美味しかったです。	{"1": 3}	test
pn17q00047	0	寝るだけなら充分です。	{"0": 2, "1": 1}	test
pn17q00048	-1	残念...。	{"-1": 3}	test
pn17q00049	1	ベッドの寝心地は良かったです。	{"1": 3}	test
pn17q00050	0	車で伺いました。	{"0": 3}	test
pn17q00051	1	お値段以上です。	{"1": 3}	test
pn17q00052	1	フロントの方の接客も丁寧でした。	{"1": 3}	test
pn17q00053	1	感謝感激です。	{"1": 3}	test
pn17q00054	0	夫婦旅行です。	{"0": 3}	test
pn17q00055	0	2017.	{"0": 3}	test
pn17q00056	1	料理もお風呂も最高でした。	{"1": 3}	test
pn17q00057	1	朝から食べ過ぎてしまいました。	{"1": 3}	test
pn17q00058	-1	今回は残念でした。	{"-1": 3}	test
pn17q00059	0	+:。	{"0": 3}	test
pn17q00060	-1	冷蔵庫はありません。	{"-1": 3}	test
pn17q00061	1	お奨めです。	{"1": 3}	test
pn17q00062	0	対応ありがとうございました。	{"0": 2, "1": 1}	test
pn17q00063	1	とても快適なホテルでした。	{"1": 3}	test
pn17q00064	1	居心地の良いホテルでした。	{"1": 3}	test
pn17q00065	1	広くてゆっくりできました。	{"1": 3}	test
pn17q00066	1	ゆっくり寝れました。	{"1": 3}	test
pn17q00067	1	かなり良かったです。	{"1": 3}	test
pn17q00068	1	笑顔も素敵でした。	{"1": 3}	test
pn17q00069	-1	意味がわかりません。	{"-1": 3}	test
pn17q00070	1	駐車場は無料でした。	{"1": 3}	test
pn17q00071	0	謎です。	{"-1": 1, "0": 2}	test
pn17q00072	1	おもてなしの心を感じました。	{"1": 3}	test
pn17q00073	0	ただ。。	{"-1": 1, "0": 2}	test
pn17q00074	1	無料朝食も美味しかったです。	{"1": 3}	test
pn17q00075	1	おかげでゆっくり休めました。	{"1": 3}	test
pn17q00076	1	とても清潔感のあるお部屋でした。	{"1": 3}	test
pn17q00077	0	部屋は和洋室でした。	{"0": 3}	test
pn17q00078	1	とても清潔なホテルでした。	{"1": 3}	test
pn17q00079	1	とても親切な対応でした。	{"1": 3}	test
pn17q00080	1	ラッキーです。	{"0": 1, "1": 2}	test
pn17q00081	1	とても快適に過ごさせて頂きました。	{"1": 3}	test
pn17q00082	1	安定のホテルです。	{"0": 1, "1": 2}	test
pn17q00083	1	露天風呂からの景色は最高でした。	{"1": 3}	test
pn17q00084	1	ケーキも美味しかったです。	{"1": 3}	test
pn17q00085	1	サービスもいいです。	{"1": 3}	test
pn17q00086	1	かなりのリピーターです。	{"0": 1, "1": 2}	test
pn17q00087	0	和室でした。	{"0": 3}	test
pn17q00088	1	駅も近くて便利でした。	{"1": 3}	test
pn17q00089	1	加湿器もありました。	{"1": 3}	test
pn17q00090	1	コストパフォーマンスが素晴らしいです。	{"1": 3}	test
pn17q00091	0	コンビニも近かったです。	{"0": 2, "1": 1}	test
pn17q00092	1	大変満足させて頂きました。	{"1": 3}	test
pn17q00093	0	初めて利用です。	{"0": 2, "1": 1}	test
pn17q00094	0	って感じだった。	{"0": 3}	test
pn17q00095	1	部屋も綺麗で使いやすかったです。	{"1": 3}	test
pn17q00096	0	長々と失礼しました。	{"-1": 1, "0": 2}	test
pn17q00097	1	人気なんですね。	{"0": 1, "1": 2}	test
pn17q00098	1	定宿にします。	{"0": 1, "1": 2}	test
pn17q00099	1	日頃の疲れを癒すことができました。	{"1": 3}	test
pn17q00100	1	ゆっくりしました。	{"0": 1, "1": 2}	test
pn17q00101	1	朝食も和食で美味しかったです。	{"1": 3}	test
pn17q00102	-1	ちょっと寂しかったです。	{"-1": 3}	test
pn17q00103	1	快眠できました。	{"0": 1, "1": 2}	test
pn17q00104	1	その心遣いが嬉しかったです。	{"1": 3}	test
pn17q00105	-1	感じ悪かったです。	{"-1": 3}	test
pn17q00106	1	対応はとても良かったです。	{"1": 3}	test
pn17q00107	1	何度もおかわりしてしまいました。	{"1": 3}	test
pn17q00108	1	部屋は静かでゆっくり休めました。	{"1": 3}	test
pn17q00109	1	ホテルは良かったです。	{"1": 3}	test
pn17q00110	1	とても気に入ってます。	{"1": 3}	test
pn17q00111	1	食後のコーヒーも美味しかったです。	{"1": 3}	test
pn17q00112	1	接客が丁寧で良かったです。	{"1": 3}	test
pn17q00113	1	値段も手頃で良かったです。	{"1": 3}	test
pn17q00114	1	朝食もバイキング形式で美味しかったです。	{"1": 3}	test
pn17q00115	1	二人とも大満足でした。	{"1": 3}	test
pn17q00116	1	居心地よかったです。	{"0": 1, "1": 2}	test
pn17q00117	1	大大大満足です。	{"1": 3}	test
pn17q00118	1	値段は安いと思います。	{"0": 1, "1": 2}	test
pn17q00119	0	一人旅行で利用しました。	{"0": 2, "1": 1}	test
pn17q00120	1	味も量も大満足でした。	{"1": 3}	test
pn17q00121	1	とても安く泊まれました。	{"1": 3}	test
pn17q00122	1	きっとまた利用します。	{"1": 3}	test
pn17q00123	1	来月も利用します。	{"0": 1, "1": 2}	test
pn17q00124	1	リーズナブルなホテルです。	{"1": 3}	test
pn17q00125	1	本当に近いです。	{"0": 1, "1": 2}	test
pn17q00126	0	寝るだけなので十分です。	{"0": 2, "1": 1}	test
pn17q00127	0	が感想です。	{"0": 3}	test
pn17q00128	0	立地で選びました。	{"0": 2, "1": 1}	test
pn17q00129	-1	朝食は食べませんでした。	{"-1": 2, "0": 1}	test
pn17q00130	-1	外観は古いです。	{"-1": 3}	test
pn17q00131	-1	寝不足です。	{"-1": 3}	test
pn17q00132	0	良かった所。	{"0": 3}	test
pn17q00133	1	コーヒーのサービスが嬉しかったです。	{"1": 3}	test
pn17q00134	1	とても素敵なペンションでした。	{"1": 3}	test
pn17q00135	1	普通に美味しいです。	{"1": 3}	test
pn17q00136	0	お待ちしておりました。	{"0": 3}	test
pn17q00137	1	卓球も楽しめました。	{"1": 3}	test
pn17q00138	1	安心して利用出来ます。	{"1": 3}	test
pn17q00139	0	家族旅行として利用しました。	{"0": 3}	test
pn17q00140	1	朝食がオススメです。	{"1": 3}	test
pn17q00141	1	毎年行きたいです。	{"1": 3}	test
pn17q00142	1	駅からは近くて便利です。	{"0": 1, "1": 2}	test
pn17q00143	-1	場所が分かりにくい。	{"-1": 3}	test
pn17q00144	0	それなりです。	{"0": 3}	test
pn17q00145	1	マッサージチェアもありました。	{"0": 1, "1": 2}	test
pn17q00146	1	部屋から見える景色も最高でした。	{"1": 3}	test
pn17q00147	1	朝食を美味しく頂きました。	{"1": 3}	test
pn17q00148	1	また行こうかな。	{"1": 3}	test
pn17q00149	1	申し分ないホテルです。	{"1": 3}	test
pn17q00150	-1	ただ残念だったのが...	{"-1": 3}	test
pn17q00151	1	ありがとうございました!!!!!	{"1": 3}	test
pn17q00152	0	窓を開けて寝ました。	{"0": 3}	test
