rte14q00003	1	部屋は狭いですが十分です。	部屋は狭かったですが、寝るだけなので十分でした。	{"0": 0, "1": 5}	null	dev
rte14q00004	1	お部屋はキレイでした!	従業員さんの対応もよくお部屋もきれいでした。	{"0": 2, "1": 3}	null	dev
rte14q00005	0	喫煙できます。	別料金で飲み放題できます。	{"0": 5, "1": 0}	null	train
rte14q00006	1	お湯が最高です!	入るとつるつるになる温泉が最高です。	{"0": 0, "1": 5}	null	train
rte14q00007	0	お部屋も広くて良かったです!	着替え場所も広くて明るくて良かったです!	{"0": 3, "1": 2}	null	train
rte14q00008	0	で安い。	金曜日でこの価格、大阪価格?。	{"0": 3, "1": 2}	null	train
rte14q00010	0	大浴場は清潔でした。	大浴場が狭く脱衣場が不衛生だった。	{"0": 5, "1": 0}	null	test
rte14q00011	0	コンビニは徒歩圏内です。	居酒屋、コンビニはタクシーでないと行けません。	{"0": 5, "1": 0}	null	dev
rte14q00014	1	過ごしやすい施設でした。	とても過ごしやすい施設です。	{"0": 0, "1": 5}	null	train
rte14q00016	0	温泉もあります。	宿の隣にはつけ麺あります。	{"0": 5, "1": 0}	null	train
rte14q00018	1	対応が丁寧で嬉しかったです。	気配りが嬉しかったですね。	{"0": 1, "1": 4}	null	train
rte14q00019	0	場所も良かったです。	車があればいろんな場所のアクセスにもいい場所です。	{"0": 3, "1": 2}	null	train
rte14q00020	0	大浴場良い。	今回は広めのタイプCを利用しましたが、ロールカーテン下の隙間が大きい為(3cm程度かな?	{"0": 5, "1": 0}	null	train
rte14q00022	1	水回りはちょっと...	排水周りの黒ずみはチョット!	{"0": 1, "1": 4}	null	train
rte14q00024	0	朝ごはんも、とても美味しかったです	冷蔵庫があったら嬉しかったなぁ	{"0": 5, "1": 0}	null	train
rte14q00026	1	おしゃれで素敵なホテルでした。	ムードある南欧風のホテルに感激です。	{"0": 2, "1": 3}	null	dev
rte14q00027	0	出張の時はまた利用したいです。	フロントの方も感じ良くまた、行橋に行く時はお世話になりたいと思います。	{"0": 4, "1": 1}	null	train
rte14q00029	1	広くて過ごしやすいです。	広くて本当に間取りも良く手入れが行き届いてますが、とにかく!!	{"0": 2, "1": 3}	null	train
rte14q00030	0	清潔に保たれていて安心です。	セキュリティーもしっかりしているので安心でした。	{"0": 5, "1": 0}	null	train
rte14q00031	1	対応がとてもよかったです。	受付の女将さんの印象がとてもよかったです。	{"0": 2, "1": 3}	null	dev
rte14q00032	1	露天ぶろ付き。	部屋に露天ぶろ付きでお値段もお手頃。	{"0": 0, "1": 5}	null	test
rte14q00033	0	おもてなしの宿です。	コストパフォーマンスが最高な宿です。	{"0": 5, "1": 0}	null	train
rte14q00034	0	夕食も朝食もよかったです。	お風呂もお部屋も夕飯も、よかったです。	{"0": 4, "1": 1}	null	test
rte14q00035	1	駅から近くて温泉。	大阪難波駅から徒歩圏内で低価格&大浴場があり大変満足できました。	{"0": 2, "1": 3}	null	train
rte14q00036	0	朝ご飯もまずい。	コーヒーすら薄くて美味しくない......	{"0": 3, "1": 2}	null	train
rte14q00037	1	お食事もとても良かったです。	お部屋も広いし、お食事もとても良かったです。	{"0": 0, "1": 5}	null	train
rte14q00038	0	残念なのは風呂が狭い。	難を言えば毎回風呂が混んでいる事か......	{"0": 5, "1": 0}	null	train
rte14q00039	0	駐車場も近くて便利でした。	駐車場も多くて便利。	{"0": 3, "1": 2}	null	train
rte14q00040	1	リーズナブルな料金でまた利用したいと思います。	値段が安く温泉なので、またの機会があったら宿泊したいと思います。	{"0": 1, "1": 4}	null	test
rte14q00041	1	清潔で良いホテルです。	ホテルは、清潔があり対応も良いです。	{"0": 0, "1": 5}	null	test
rte14q00042	1	そして清潔。	お部屋は使いやすく、隅々まで行き届いている清潔感。	{"0": 2, "1": 3}	null	dev
rte14q00043	1	とにかく静かで良かったです。	とにかく、静かでゆったりできたのでよかったです。	{"0": 0, "1": 5}	null	train
rte14q00044	1	隣の人の話し声。	隣の話声や物音が良く聞こえる...	[{"0": 3, "1": 2}, {"0": 0, "1": 2}]	null	train
rte14q00046	0	アットホームな宿でした。	本当に静かな宿でした。	{"0": 5, "1": 0}	null	test
rte14q00048	1	お部屋食が良かったです。	夕食がお部屋食で大変良かったです。	{"0": 0, "1": 5}	null	train
rte14q00049	0	部屋食がないのが残念でした。	ポットがないのが不満でした。	{"0": 5, "1": 0}	null	train
rte14q00050	0	そしてベッド。	お部屋もセミダブルの広い部屋とベッド。	{"0": 3, "1": 2}	null	train
rte14q00051	0	総合的に満足しています。	でもコスト的に満足しています。	{"0": 4, "1": 1}	null	train
rte14q00052	1	お部屋は清潔で良かった。	接客や清潔感があり良かった。	{"0": 1, "1": 4}	null	train
rte14q00053	1	朝食も文句なし。	朝食のバイキングもバリエーション、味ともに文句なし。	{"0": 0, "1": 5}	null	dev
rte14q00054	0	炊飯器もあります。	お部屋も綺麗で食器なども揃っていて有難いです。	{"0": 5, "1": 0}	null	train
rte14q00055	1	温泉良かったです!	お部屋は狭かったのですがベッドが広くて何より温泉があるのがいいですね!	{"0": 0, "1": 5}	null	train
rte14q00056	1	コンビニが近かったです。	前にローソンができてました。	{"0": 0, "1": 5}	null	train
rte14q00057	0	豪華なホテルだと思います。	総合的に整ったホテルだと思います。	{"0": 4, "1": 1}	null	train
rte14q00058	0	部屋は狭いですが綺麗でした。	噂通り部屋は狭かったですが寝るだけなら充分でした。	{"0": 3, "1": 2}	null	train
rte14q00059	0	品数も多くて満足でした。	おまけにお腹いっぱい食べられました。	{"0": 3, "1": 2}	null	train
rte14q00060	1	カレー最高でした。	朝食の仙台牛カレーは美味しかったです、カレー目当てで利用する人もいるのでは。	{"0": 0, "1": 5}	null	dev
rte14q00061	1	フロントの方も丁寧で好感が持てました。	フロントの方も丁寧な接客で良かったかと思います。	{"0": 0, "1": 5}	null	train
rte14q00063	1	洗濯機と乾燥機もあり便利でした。	洗濯機があって重宝します。	{"0": 1, "1": 4}	null	train
rte14q00064	1	お得なプランで泊まりました。	平日の特別プランで泊まれたので、お得感が高かったです。	{"0": 0, "1": 5}	null	test
rte14q00065	0	コーヒーを部屋に持ち帰れる!	紙コップで部屋まで持参出来るのがいいですね。	{"0": 4, "1": 1}	null	train
rte14q00066	1	夕食朝食共にとても美味しかったです。	料理は本格的フレンチで朝も夜もとても美味しく頂きました。	{"0": 1, "1": 4}	null	train
