rte26q00003	rte12q03789	replace	hypothesis
rte26q00004	rte12q00570	replace	hypothesis
rte26q00005	rte12q01427	insert	hypothesis
rte26q00008	rte12q04387	replace	premise
rte26q00010	rte12q02700	replace	premise
rte26q00011	rte12q01964	replace	premise
rte26q00012	rte12q03937	replace	premise
rte26q00013	rte12q04177	insert	hypothesis
rte26q00014	rte12q02097	insert	hypothesis
rte26q00015	rte12q04786	insert	hypothesis
rte26q00016	rte12q04376	insert	hypothesis
rte26q00017	rte12q02936	insert	hypothesis
rte26q00018	rte12q02134	replace	hypothesis
rte26q00019	rte12q04758	replace	premise
rte26q00021	rte12q01858	replace	hypothesis
rte26q00022	rte12q02774	replace	premise
rte26q00023	rte12q04604	insert	hypothesis
rte26q00025	rte12q03582	replace	premise
rte26q00026	rte12q04324	insert	hypothesis
rte26q00027	rte12q02953	insert	premise
rte26q00028	rte12q02742	replace	hypothesis
rte26q00029	rte12q00754	insert	hypothesis
rte26q00030	rte12q00317	insert	hypothesis
rte26q00031	rte12q01193	replace	premise
rte26q00032	rte12q04210	replace	hypothesis
rte26q00033	rte12q03850	replace	hypothesis
rte26q00034	rte12q02382	insert	hypothesis
rte26q00035	rte12q00230	insert	hypothesis
rte26q00036	rte12q01288	insert	hypothesis
rte26q00037	rte12q01397	insert	hypothesis
rte26q00038	rte12q02724	replace	hypothesis
rte26q00039	rte12q04801	insert	hypothesis
rte26q00040	rte12q03738	insert	hypothesis
rte26q00041	rte12q04286	replace	premise
rte26q00042	rte12q01789	replace	premise
rte26q00043	rte12q01182	insert	premise
rte26q00044	rte12q00132	replace	hypothesis
rte26q00045	rte12q02321	replace	hypothesis
rte26q00046	rte12q01230	replace	hypothesis
rte26q00047	rte12q00186	replace	hypothesis
rte26q00048	rte12q00070	replace	premise
rte26q00050	rte12q02779	replace	premise
rte26q00051	rte12q03573	replace	premise
rte26q00052	rte12q01443	replace	hypothesis
rte26q00053	rte12q03007	insert	hypothesis
rte26q00054	rte12q03719	insert	hypothesis
rte26q00055	rte12q01895	replace	hypothesis
rte26q00056	rte12q00396	replace	premise
rte26q00057	rte12q03299	insert	hypothesis
rte26q00058	rte12q02611	replace	hypothesis
rte26q00059	rte12q03919	replace	hypothesis
rte26q00060	rte12q02479	replace	premise
rte26q00061	rte12q04578	replace	premise
rte26q00062	rte12q02612	insert	premise
rte26q00064	rte12q04694	replace	premise
rte26q00065	rte12q03449	insert	hypothesis
rte26q00066	rte12q02901	replace	hypothesis
rte26q00067	rte12q04813	replace	premise
rte26q00068	rte12q02328	insert	hypothesis
rte26q00069	rte12q02760	replace	premise
rte26q00070	rte12q02512	replace	hypothesis
rte26q00071	rte12q03837	replace	premise
rte26q00073	rte12q00199	replace	premise
rte26q00074	rte12q04370	replace	premise
rte26q00075	rte12q01777	insert	hypothesis
rte26q00076	rte12q01551	insert	hypothesis
rte26q00077	rte12q02425	replace	hypothesis
rte26q00078	rte12q04479	replace	hypothesis
rte26q00079	rte12q02087	replace	hypothesis
rte26q00080	rte12q01406	insert	hypothesis
rte26q00081	rte12q01736	replace	hypothesis
rte26q00083	rte12q03704	insert	premise
rte26q00085	rte12q00880	replace	premise
rte26q00086	rte12q03770	replace	hypothesis
rte26q00087	rte12q01485	replace	premise
rte26q00088	rte12q04707	replace	hypothesis
rte26q00089	rte12q03766	insert	hypothesis
rte26q00090	rte12q03029	replace	premise
rte26q00092	rte12q03842	insert	hypothesis
rte26q00093	rte12q01958	replace	premise
rte26q00094	rte12q00452	insert	hypothesis
rte26q00095	rte12q00341	insert	premise
rte26q00096	rte12q01819	insert	hypothesis
rte26q00097	rte12q01376	replace	premise
rte26q00098	rte12q00596	insert	hypothesis
rte26q00099	rte12q00051	replace	hypothesis
rte26q00100	rte12q00665	replace	hypothesis
rte26q00101	rte12q00979	replace	premise
rte26q00102	rte12q04180	replace	premise
rte26q00103	rte12q00479	insert	hypothesis
rte26q00104	rte12q01933	replace	premise
rte26q00105	rte12q00356	replace	hypothesis
rte26q00106	rte12q04606	insert	hypothesis
rte26q00107	rte12q02361	insert	hypothesis
rte26q00108	rte12q04332	insert	hypothesis
rte26q00109	rte12q02581	insert	hypothesis
rte26q00110	rte12q04841	replace	hypothesis
rte26q00111	rte12q02236	insert	premise
rte26q00112	rte12q03438	insert	hypothesis
rte26q00113	rte12q04727	insert	hypothesis
rte26q00114	rte12q03314	insert	hypothesis
rte26q00116	rte12q04910	replace	premise
rte26q00117	rte12q04956	replace	hypothesis
rte26q00118	rte12q01772	insert	hypothesis
rte26q00119	rte12q02048	replace	hypothesis
rte26q00121	rte12q04793	insert	hypothesis
rte26q00122	rte12q03123	replace	hypothesis
rte26q00124	rte12q02732	replace	premise
rte26q00125	rte12q00402	insert	hypothesis
rte26q00126	rte12q02989	replace	premise
rte26q00127	rte12q04566	insert	hypothesis
rte26q00128	rte12q03695	insert	hypothesis
rte26q00129	rte12q04868	replace	hypothesis
rte26q00131	rte12q02442	replace	premise
rte26q00132	rte12q03355	insert	hypothesis
rte26q00133	rte12q04361	replace	premise
rte26q00134	rte12q00425	replace	premise
rte26q00135	rte12q04453	replace	hypothesis
rte26q00136	rte12q04832	insert	hypothesis
rte26q00137	rte12q01324	replace	hypothesis
rte26q00138	rte12q02315	replace	hypothesis
rte26q00139	rte12q02575	replace	hypothesis
rte26q00140	rte12q01090	insert	hypothesis
rte26q00141	rte12q02320	insert	hypothesis
rte26q00142	rte12q02611	insert	hypothesis
rte26q00143	rte12q01920	replace	premise
rte26q00144	rte12q02013	replace	hypothesis
rte26q00145	rte12q00262	insert	hypothesis
