rte12q00001	1	朝日も最高でした。	眺めは良く、朝日は最高でした。	{"0": 0, "1": 5}	null	train
rte12q00002	1	お部屋も広くていいですね。	部屋も広くでいいです。	{"0": 0, "1": 5}	null	train
rte12q00004	1	部屋は狭いですが寝るだけなら十分です。	部屋はとても狭いですが、寝るだけなら全く問題ありません。	{"0": 0, "1": 5}	null	train
rte12q00005	1	お風呂もトイレも綺麗でした。	水回りも綺麗です。	{"0": 1, "1": 4}	null	test
rte12q00007	1	お部屋はとても広く快適でした。	部屋は広くとても快適でした。	{"0": 1, "1": 4}	null	train
rte12q00008	0	古いビジネスホテルです。	古いマンションの一室です。	{"0": 4, "1": 1}	null	train
rte12q00009	1	立地は最高ですね。	ロケーションはいい。	{"0": 0, "1": 5}	null	train
rte12q00010	1	いつも安心して泊まれます。	いつも安心して利用しています・	{"0": 0, "1": 5}	null	train
rte12q00011	1	広い部屋で良かったです。	とても広い部屋で、ゆっくりできました。	{"0": 0, "1": 5}	null	dev
rte12q00012	0	駐車場も広く便利でした。	駐車場もあり、便利。	{"0": 1, "1": 4}	null	train
rte12q00013	0	冷蔵庫の中に髪の毛が...	部屋に長い髪の毛が1本。	{"0": 2, "1": 3}	null	train
rte12q00015	1	海が見える露天風呂は最高でした。	やはり、海辺の露天風呂が最高でした。	{"0": 0, "1": 5}	null	train
rte12q00016	1	全体的に清潔感があり良かったです。	全体的に清潔感があり、値段も安い。	{"0": 0, "1": 5}	null	train
rte12q00017	0	朝カレーも美味しかったです。	鶏飯も美味しかったです。	{"0": 5, "1": 0}	null	train
rte12q00018	0	露天風呂はありません。	お風呂はサウナはなく、こじんまりとしています。	{"0": 5, "1": 0}	null	test
rte12q00020	1	スタッフの方はとても感じが良かったです。	スタッフの方は親切でした。	{"0": 1, "1": 4}	null	test
rte12q00021	1	それ以外はそこそこ良かったです	それ以外は問題無く過ごせました	{"0": 2, "1": 3}	null	dev
rte12q00022	1	観光には便利でした。	近辺観光には便利。	{"0": 1, "1": 4}	null	train
rte12q00023	1	居心地の良い空間でした。	館内の雰囲気もよく、癒しの空間でした。	{"0": 1, "1": 4}	null	train
rte12q00024	1	部屋はそれなり。	部屋はまずまずだと思います。	{"0": 0, "1": 5}	null	train
rte12q00026	1	部屋はゆっくり出来ました。	部屋は広くゆっくり出来ました。	{"0": 0, "1": 5}	null	train
rte12q00027	1	接客は問題ありませんでした。	接客は特に問題がなかったです。	{"0": 0, "1": 5}	null	train
rte12q00028	1	料理の説明も丁寧でした。	料理がおいしくて、説明もきちんとしてくれました。	{"0": 0, "1": 5}	null	train
rte12q00029	0	ビジネスホテルみたいでした。	家のお風呂みたい。	{"0": 5, "1": 0}	null	train
rte12q00030	1	お布団もふかふか。	お布団も寝やすかったです。	{"0": 2, "1": 3}	null	train
rte12q00032	1	白米は美味しかったです。	朝食のご飯はとても美味しかったです。	{"0": 1, "1": 4}	null	test
rte12q00033	1	おもてなし最高でした。	従業員の対応最高でした。	{"0": 0, "1": 5}	null	dev
rte12q00034	0	無料の朝食は美味しかったです。	朝食は、とても美味しかったです。	{"0": 3, "1": 2}	null	dev
rte12q00036	1	サービスも行き届いています。	接客においても行き届いています。	{"0": 0, "1": 5}	null	train
rte12q00037	1	お風呂が最高でした。	なんといっても、風呂が最高でした。	{"0": 0, "1": 5}	null	train
rte12q00038	1	清潔でとても良いです。	とても清潔で良いホテルです。	{"0": 0, "1": 5}	null	train
rte12q00039	1	部屋は清潔感があり良いと思いました。	部屋は清潔感があり、問題なかったです。	{"0": 1, "1": 4}	null	dev
rte12q00040	1	清潔感もある。	清潔感なども満足です。	{"0": 0, "1": 5}	null	train
rte12q00041	1	食べきれないほどの量でした。	食べきれないほどのボリュームでした!!	{"0": 0, "1": 5}	null	train
rte12q00042	1	思ったより綺麗でした。	思ったより綺麗、ヘルシー。	{"0": 1, "1": 4}	null	test
rte12q00043	1	夕食と朝食も美味しかったです。	朝食も夕食バイキングも大変美味しかったです。	{"0": 0, "1": 5}	null	train
rte12q00044	0	揚げたてで美味しかったです。	柔らかく美味しかったです!	{"0": 4, "1": 1}	null	train
rte12q00045	1	リーズナブルで助かりました。	安く利用できて助かりました。	{"0": 0, "1": 5}	null	train
rte12q00046	1	肌がツルツルになりました。	お風呂も肌がスベスベになりました!	{"0": 1, "1": 4}	null	dev
rte12q00047	1	清掃は行き届いていたと思います。	お掃除は行き届いていた気がします。	{"0": 0, "1": 5}	null	train
rte12q00048	1	柔らかくて美味しかったです。	予想通りやわらかくて美味しかった!	{"0": 0, "1": 5}	null	train
rte12q00049	0	部屋は綺麗で広めです。	綺麗で広いです。	{"0": 3, "1": 2}	null	train
rte12q00050	0	バーベキューは最高でした。	夕食のステーキは最高でした。	{"0": 5, "1": 0}	null	train
rte12q00051	1	朝食付きでこの値段。	この料金で、朝食付き。	{"0": 0, "1": 5}	null	train
rte12q00052	0	素晴らしいおもてなしです。	残念。。。。。。。。	{"0": 5, "1": 0}	null	train
rte12q00053	1	部屋の露天風呂は最高でした。	部屋にある露天風呂がとても気持ち良かったです。	{"0": 0, "1": 5}	null	train
rte12q00054	0	素晴らしいおもてなしです。	出張族には良いホテルだと思います。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。	{"0": 5, "1": 0}	null	test
