rte26q00003	0	駐車料金も安かったです。	値段も、リーズナブルです。	{"0": 5}	null	dev
rte26q00004	0	お風呂など清潔感がありました。	風呂も気持ちよかったです。	{"0": 5}	null	dev
rte26q00005	0	その他のサービスは良かったです。	サービスはすばらしかったです。	{"0": 3, "1": 2}	null	train
rte26q00008	0	とにかく最高でした。	とにかく美味しかった~。	{"0": 5}	null	train
rte26q00010	0	朝食は種類も多く美味しいです。	種類が多く味も美味しいです。	{"0": 5}	null	dev
rte26q00011	0	お風呂も清潔感があり良かったです。	温泉も大変良かったです。	{"0": 2, "1": 3}	null	train
rte26q00012	0	とても静かな場所です。	出張で利用しましたが、非常に落ち着ける場所です。	{"0": 2, "1": 3}	null	test
rte26q00013	0	とても静かな場所でゆっくり出来ました。	大変凄くゆっくり出来ましたー。	{"0": 2, "1": 3}	null	train
rte26q00014	0	露天もサウナもある。	サウナもあり、嬉しい水風呂もあります。	{"0": 2, "1": 3}	null	train
rte26q00015	0	温泉も掛け流しで良かったですね。	温泉も大変良かった。	{"0": 2, "1": 3}	null	dev
rte26q00016	0	普通の温泉の宿でした。	全体的にふつうの宿だと思います。	{"0": 2, "1": 3}	null	train
rte26q00017	1	部屋のお風呂は温泉です。	お風呂の温泉は、良かったです。	{"0": 2, "1": 3}	null	train
rte26q00018	0	近くにスーパーもあり便利です。	近くにコンビニや飲食店もあったので便利でした。	{"0": 3, "1": 2}	null	train
rte26q00019	0	部屋は清潔感がありました。	フロントの対応も良く、施設は清潔感がありました。	{"0": 3, "1": 2}	null	train
rte26q00021	0	ホテル周辺は静かです。	平日だったので館内は静か。	{"0": 5}	null	dev
rte26q00022	0	全てに感動しました。	この値段に対して、最高です。	{"0": 5}	null	train
rte26q00023	0	美味しい朝御飯ですね。	やはり美味しいです。	{"0": 4, "1": 1}	null	train
rte26q00025	1	良いお風呂です。	とてもいいお風呂だったので、残念でした。	{"0": 2, "1": 3}	null	test
rte26q00026	0	期待通りの白濁温泉でした。	期待通り温泉が最高でした。	{"0": 5}	null	train
rte26q00027	0	駅が近くてよかったです。	駅近でよかっただけに残念でした。	{"0": 3, "1": 2}	null	dev
rte26q00028	0	とても良いホテルだと思います。	とても気持ちの良い接客です。	{"0": 5}	null	train
rte26q00029	0	料理も接客も満点。	スタッフの対応も、抜群!	{"0": 5}	null	train
rte26q00030	0	清潔でお風呂も気持ち良く利用できました。	清潔でゆっくりさせて頂きました。	{"0": 5}	null	test
rte26q00031	0	館内も綺麗です。	お部屋は広々としていて綺麗でした。	{"0": 4, "1": 1}	null	train
rte26q00032	0	部屋も広く清潔感があります。	・館内は清潔。	{"0": 4, "1": 1}	null	dev
