rteC30q00001	1	肌がスベスベになりました。	温泉は、肌がスベスベになります。	null	[["肌", 0], ["が", 0], ["ス", 0], ["ベ", 0], ["ス", 0], ["ベ", 0], ["になりました", 0], ["<1>", 3], ["<unknown>", 0]]	dev
rteC30q00002	1	肌がスベスベになりました。	お肌もツルツルになりました。	null	[["肌", 0], ["が", 0], ["ス", 0], ["ベ", 0], ["ス", 0], ["ベ", 0], ["になりました", 0], ["<1>", 3], ["<unknown>", 0]]	train
rteC30q00003	1	肌がスベスベになりました。	温泉はお肌がつるつるになりました。	null	[["肌", 0], ["が", 0], ["ス", 0], ["ベ", 0], ["ス", 0], ["ベ", 0], ["になりました", 0], ["<1>", 3], ["<unknown>", 0]]	train
rteC30q00005	1	コストパフォーマンス最高!	コストパフォーマンス抜群。	null	[["コストパフォーマンス", 0], ["最高", 0], ["!", 0], ["<1>", 3], ["<unknown>", 0]]	train
rteC30q00006	1	コストパフォーマンス最高!	コスパばっちりです。	null	[["コストパフォーマンス", 0], ["最高", 0], ["!", 0], ["<1>", 3], ["<unknown>", 0]]	dev
rteC30q00007	1	コストパフォーマンス最高!	コストパフォーマンスとても良いです。	null	[["コストパフォーマンス", 0], ["最高", 0], ["!", 0], ["<1>", 3], ["<unknown>", 0]]	train
rteC30q00008	1	コストパフォーマンス最高!	コストパフォーマンスは、最高でした。	null	[["コストパフォーマンス", 0], ["最高", 0], ["!", 0], ["<1>", 3], ["<unknown>", 0]]	train
rteC30q00009	1	コスパ最高!	コスパは最高。	null	[["コスパ", 0], ["最高", 0], ["!", 0], ["<1>", 3], ["<unknown>", 0]]	dev
rteC30q00010	1	コスパ最高!	コストパフォーマンス大です。	null	[["コスパ", 0], ["最高", 0], ["!", 0], ["<1>", 3], ["<unknown>", 0]]	train
rteC30q00011	1	コスパ最高!	コストパフォーマンス大!	null	[["コスパ", 0], ["最高", 1], ["!", 0], ["<1>", 2], ["<unknown>", 0]]	dev
rteC30q00012	1	コスパ最高!	とにかく、コスパ最高でした。	null	[["コスパ", 0], ["最高", 0], ["!", 0], ["<1>", 3], ["<unknown>", 0]]	train
rteC30q00013	1	お風呂最高!	風呂最高。	null	[["お風呂", 0], ["最高", 0], ["!", 1], ["<1>", 2], ["<unknown>", 0]]	train
rteC30q00014	1	お風呂最高!	お風呂、とても良かったです。	null	[["お風呂", 0], ["最高", 0], ["!", 0], ["<1>", 3], ["<unknown>", 0]]	train
rteC30q00015	1	お風呂最高!	お風呂は、最高でした!	null	[["お風呂", 0], ["最高", 0], ["!", 0], ["<1>", 3], ["<unknown>", 0]]	dev
rteC30q00016	1	お風呂最高!	温泉、良かったです!	null	[["お風呂", 0], ["最高", 0], ["!", 0], ["<1>", 3], ["<unknown>", 0]]	train
rteC30q00017	1	ゆったりできました。	ゆったり。	null	[["ゆったりできました", 0], ["<1>", 3], ["<unknown>", 0]]	train
rteC30q00018	0	ゆったりできました。	ただ、暑かった。	null	[["ゆったりできました", 2], ["<1>", 0], ["<unknown>", 1]]	train
rteC30q00019	1	ゆったりできました。	ゆっくりできる。	null	[["ゆったりできました", 0], ["<1>", 3], ["<unknown>", 0]]	train
rteC30q00020	1	ゆったりできました。	ゆっくりくつろげました。	null	[["ゆったりできました", 0], ["<1>", 3], ["<unknown>", 0]]	train
rteC30q00021	0	アレルギー対応ありがとうございました。	離乳食もありがとうございました。	null	[["アレルギー", 3], ["対応", 3], ["ありがとうございました", 0], ["<1>", 0], ["<unknown>", 0]]	train
rteC30q00022	0	アレルギー対応ありがとうございました。	しかし、部屋が。。。	null	[["アレルギー", 2], ["対応", 2], ["ありがとうございました", 2], ["<1>", 0], ["<unknown>", 1]]	train
rteC30q00023	0	アレルギー対応ありがとうございました。	温泉、良かった。	null	[["アレルギー", 2], ["対応", 2], ["ありがとうございました", 2], ["<1>", 0], ["<unknown>", 1]]	dev
rteC30q00024	0	アレルギー対応ありがとうございました。	温泉までの送迎もありがとうございました。	null	[["アレルギー", 2], ["対応", 2], ["ありがとうございました", 0], ["<1>", 0], ["<unknown>", 1]]	train
